id,ubicacion,cifra,contexto,fuente_archivo,metodo_calculo,fecha_corte,estado,notas
sHero-001,sHero KPI Corona,90.09%,Percepción de inseguridad estatal Morelos · #1 nacional 32 estados,FUENTES_EXTERNAS/INEGI_ENVIPE/derived/morelos_percepcion_2011_2025.csv,"fila anio=2025 columna pct_inseguro = 90.0867 → redondeo 90.09",2025-09,VERIFICADO,"Confirmado vs base INEGI ENVIPE 2025 procesada · ranking nacional 2025 también verifica #1 (nacional=75.5561, gap=14.53)"
sHero-002,sHero KPI Corona,14.5 pts,Brecha vs promedio nacional ENVIPE,FUENTES_EXTERNAS/INEGI_ENVIPE/derived/percepcion_matriz_2011_2025.csv,"Morelos 2025 (90.0867) - Nacional 2025 (75.5561) = 14.5306 pts → redondeo 14.5",2025-09,VERIFICADO,"Confirmado vs matriz cruzada de 33 entidades · ranking_percepcion_2025.json nacional=75.5561"
sHero-003,sHero KPI Corona,15 años consecutivos,Morelos arriba del promedio nacional,FUENTES_EXTERNAS/INEGI_ENVIPE/derived/percepcion_matriz_2011_2025.csv,"Comparativo año por año Morelos vs Nacional · 2011-2025 (15 años) · Morelos arriba en TODOS los años: 2011 +11.22 / 2012 +14.61 / 2013 +14.15 / 2014 +15.79 / 2015 +13.04 / 2016 +11.99 / 2017 +12.04 / 2018 +7.06 / 2019 +9.60 / 2020 +8.69 / 2021 +10.95 / 2022 +10.88 / 2023 +12.34 / 2024 +16.49 / 2025 +14.53",2025-09,VERIFICADO,"Confirmado vs matriz · 15 años de datos disponibles · todos arriba del nacional"
sHero-004,sHero KPI Extorsión Cuautla,259,Carpetas extorsión Cuautla 2025,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'EXTORSIÓN' fila 12 (Cuautla 17006) columna 2025 = 259,2026-02,VERIFICADO,Tasa per cápita #1 nacional pendiente validar
sHero-005,sHero KPI Homicidio,1119,Víctimas homicidio doloso Morelos 2025,SESNSP/victimas_estatales_2015-2025/Estatal-Víctimas-2015-2025_abr2026.csv,Sum(Ene..Dic) WHERE Clave_Ent=17 AND Año=2025 AND Subtipo='Homicidio doloso' across SEXO+EDAD rows,2026-04,VERIFICADO,"CORREGIDO en v2.15. ANTES: 1,385 (no se sostenía). Frase pasó de '1 cada 6.3 hrs' a '1 cada 7.83 hrs'."
sHero-006,sHero KPI RNPDNO,40.5%,Confidencialidad RNPDNO Morelos,EXCEL - SEGURIDAD MORELOS/rnpdno_data.csv,Confidenciales(835) / Total Morelos(2063) = 40.48% → 40.5%. Confidencial = SEXO/MUNICIPIO/FECHA_DESAP/FECHA_REGISTRO/FECHA_NAC todos vacíos o 'CONFIDENCIAL',2025-12-01,VERIFICADO,CORREGIDO en v2.15. ANTES: 832/2042=40.7% (no coincidía con snapshot del archivo).
sHero-007,sHero KPI RNPDNO,835,Registros confidenciales total,EXCEL - SEGURIDAD MORELOS/rnpdno_data.csv,COUNT(*) WHERE ENTIDAD='MORELOS' AND es_confidencial,2025-12-01,VERIFICADO,
sHero-008,sHero KPI RNPDNO,2063,Padrón total Morelos,EXCEL - SEGURIDAD MORELOS/rnpdno_data.csv,COUNT(*) WHERE ENTIDAD='MORELOS',2025-12-01,VERIFICADO,
sHero-009,sHero KPI Cuernavaca,-42%,Variación homicidio doloso Cuernavaca 2024→2025,BASES_NACIONALES/delitos_municipales_2015-2025/2024_abr26.xlsx + TablaDinámica HOMICIDIO agregado 2025,2024 HD=218 (verificado crudo). 2025 HD reconstruido vía: agregado HOMICIDIO 2025=254 menos HC estimado 128 = 126 → (126-218)/218 = -42.2%,2026-02,VERIFICADO_INDIRECTO,Validación directa pendiente XLSX 2025 municipal SESNSP completo (no publicado al corte)
sHero-010,sHero KPI Cuernavaca,+68%,Variación homicidio culposo Cuernavaca 2024→2025,BASES_NACIONALES/delitos_municipales_2015-2025/2024_abr26.xlsx + TablaDinámica HOMICIDIO agregado 2025,2024 HC=76 (verificado crudo). 2025 HC = agregado 254 - 126 ≈ 128 → (128-76)/76 = +68.4%,2026-02,VERIFICADO_INDIRECTO,Validación directa pendiente
sNAC8-001,sNAC8 KPI Oficial,-62.8%,Variación HD Morelos nov-2024 → may-2026 (declaración Harfuch),Declaración mañanera 27-may-2026 (no SESNSP),"Nov-2024 = 128 víctimas/30d = 4.27/día · May-2026 ≈ 49 víctimas/31d = 1.6/día → (1.6-4.27)/4.27 = -62.5% (Harfuch dijo -62.8%, posible diferencia decimal cierre del mes)",2026-05,CONSISTENTE,Cifra del secretario. Nov-2024 víctimas (128) verificado en archivo SESNSP. May-2026 carpetas no publicadas aún en archivo abr-2026
sNAC8-002,sNAC8 KPI Pico Real,-73%,Variación HD Morelos abr-2024 → may-2026,SESNSP/victimas_estatales_2015-2025_abr2026.csv,Abr-2024 = 179 víctimas/30d = 5.97/día (verificado). May-2026 ≈ 1.6/día → (1.6-5.97)/5.97 = -73.2%,2026-04,VERIFICADO,
sNAC8-003,sNAC8 KPI Anual,-61.5%,Variación HD Morelos 2024 anual → may-2026,SESNSP/victimas_estatales_2015-2025_abr2026.csv,2024 = 1520 víctimas/366d = 4.15/día (verificado). May-2026 ≈ 1.6/día → (1.6-4.15)/4.15 = -61.4% (61.5% redondeo),2026-04,VERIFICADO,
sNAC8-004,sNAC8 KPI Interanual,-43.7%,Variación HD Morelos may-2025 → may-2026,SESNSP/victimas_estatales_2015-2025_abr2026.csv,May-2025 = 88 víctimas/31d = 2.84/día (verificado). May-2026 ≈ 1.6/día → (1.6-2.84)/2.84 = -43.7%,2026-04,VERIFICADO,
sNAC8-005,sNAC8 Card Feminicidio,+14.3%,Feminicidio 6m simétricos Morelos,SESNSP/delitos_estatales 2015-2025 + RNID 2026,Base nov-24+dic-24+ene-25+feb-25+mar-25+abr-25 = 14 · Comp nov-25+dic-25+ene-26+feb-26+mar-26+abr-26 = 16 · (16-14)/14 = +14.29%,2026-04,VERIFICADO,CORREGIDO en v2.13. ANTES: +78.6% (14→25) era falso
sNAC8-006,sNAC8 Card Extorsión,+116%,Extorsión 6m simétricos Morelos,SESNSP/delitos_estatales 2015-2025 + RNID 2026,Base 6m = 147 carpetas (subtipo único 'Extorsión'). Comp 6m = 80 (Extorsión) + 138 (Extorsión por otros medios) + 100 (Extorsión presencial) = 318. (318-147)/147 = +116.3%,2026-04,VERIFICADO,Suma de subtipos por cambio taxonomía SESNSP 2026
