clave_ent,entidad,sesnsp_2025_total,sesnsp_2025_hd,sesnsp_2025_hc,sesnsp_2025_feminicidio,sesnsp_2025_extorsion,sesnsp_2025_secuestro,sesnsp_2025_narcomenudeo,sesnsp_2025_violencia_familiar,sesnsp_2025_robo_amplio,sesnsp_2025_lesiones_dolosas,sesnsp_2025_abuso_sexual,sesnsp_2025_violacion,sesnsp_2025_amenazas,serie_hd_2015,serie_hd_2016,serie_hd_2017,serie_hd_2018,serie_hd_2019,serie_hd_2020,serie_hd_2021,serie_hd_2022,serie_hd_2023,serie_hd_2024,serie_hd_2025,serie_total_2015,serie_total_2020,serie_total_2025,sesnsp_2026_parcial_total,sesnsp_2026_parcial_hd,rnpdno_desaparecidos,rnpdno_no_localizados,rnpdno_loc_con_vida,rnpdno_loc_sin_vida,rnpdno_activos_total,poblacion_2025,tasa_hd_100k_2025,tasa_feminicidio_100k_2025,tasa_extorsion_100k_2025,tasa_total_100k_2025,tasa_rnpdno_activos_100k,tasa_secuestro_100k_2025,tasa_violencia_familiar_100k_2025,tasa_violacion_100k_2025
1,Aguascalientes,39291,86,134,4,71,0,2778,2719,9303,3350,0,370,2905,38,39,82,75,91,72,75,70,85,112,86,23212,33626,39291,23263,32,499,8,6451,226,507,1549118,5.55,0.258,4.58,2536.3,32.7,0.0,175.5,23.88
2,Baja California,91936,1530,442,33,89,4,8622,15463,21272,4748,1590,804,4033,821,1168,2084,2798,2606,2629,2670,2399,2116,2089,1530,119944,92168,91936,53245,740,5146,51,3383,273,5197,4131619,37.03,0.799,2.15,2225.2,125.8,0.097,374.3,19.46
3,Baja California Sur,24740,113,115,6,138,2,1048,3292,5198,1764,405,239,2398,151,216,610,162,81,62,48,39,24,56,113,21415,18254,24740,14414,33,1159,16,2134,301,1175,904052,12.5,0.664,15.26,2736.6,130.0,0.221,364.1,26.44
4,Campeche,5581,101,78,11,20,1,433,513,712,585,131,265,432,49,81,66,69,73,77,85,87,94,95,101,1886,2003,5581,2586,53,176,11,1925,38,187,958567,10.54,1.148,2.09,582.2,19.5,0.104,53.5,27.65
5,Coahuila de Zaragoza,69149,76,229,9,76,0,5358,14664,5910,4842,810,492,13184,278,212,222,228,221,194,137,129,116,105,76,46569,48461,69149,42374,42,3363,329,1246,355,3692,3400257,2.24,0.265,2.24,2033.6,108.6,0.0,431.3,14.47
6,Colima,26814,557,149,3,142,3,2399,4249,4090,1135,350,169,2897,162,502,698,617,661,544,474,738,792,749,557,6562,25370,26814,15878,310,1451,73,2687,395,1524,767105,72.61,0.391,18.51,3495.5,198.7,0.391,553.9,22.03
7,Chiapas,11031,324,780,31,85,12,1411,802,1678,430,120,284,691,502,468,475,562,525,419,429,377,500,662,324,21618,17269,11031,5379,174,1700,334,7560,308,2034,6107903,5.3,0.508,1.39,180.6,33.3,0.196,13.1,4.65
8,Chihuahua,73862,1491,316,45,10,73,3801,14050,11624,5462,1865,1440,3580,945,1232,1566,1809,2181,2296,2060,1668,1776,1705,1491,61280,66837,73862,42734,720,3475,823,9675,1031,4298,4043130,36.88,1.113,0.25,1826.9,106.3,1.806,347.5,35.62
9,Ciudad de México,210384,761,753,44,1753,26,6030,33712,63452,5015,3779,2101,19810,798,906,1048,1364,1396,1128,921,709,780,813,761,169701,198155,210384,122232,425,5846,200,16277,828,6046,9183658,8.29,0.479,19.09,2290.9,65.8,0.283,367.1,22.88
10,Durango,18333,55,205,6,23,0,950,4914,2252,1918,480,243,1121,236,236,216,180,150,143,128,115,78,64,55,29088,26024,18333,11170,28,1124,18,4831,279,1142,1927128,2.85,0.311,1.19,951.3,59.3,0.0,255.0,12.61
