ventana,cve_ent,estado,tasa_homicidio_inicial,tasa_homicidio_final,delta_homicidio_pct,tasa_control_inicial,tasa_control_final,delta_control_pct,cuadrante,score
2019-2025,1,Aguascalientes,6.34,5.55,-12.4,161.66,183.91,13.8,Q2,26.1
2019-2025,2,Baja California,69.17,37.03,-46.5,279.35,210.84,-24.5,Q1,21.9
2019-2025,3,Baja California Sur,10.15,12.5,23.1,83.23,131.19,57.6,Q3,34.5
2019-2025,4,Campeche,7.8,10.54,35.1,15.06,47.26,213.8,Q3,178.7
2019-2025,5,Coahuila,6.99,2.24,-68,273.43,159.81,-41.6,Q1,26.5
2019-2025,6,Colima,89.19,72.61,-18.6,239.23,331.25,38.5,Q2,57.1
2019-2025,7,Chiapas,9.3,5.3,-42.9,17.53,24.49,39.7,Q2,82.7
2019-2025,8,Chihuahua,57.77,36.88,-36.2,201.84,94.26,-53.3,Q1,-17.1
2019-2025,9,Ciudad de México,14.94,8.29,-44.5,74.42,84.75,13.9,Q2,58.4
2019-2025,10,Durango,8.12,2.85,-64.9,54.54,50.49,-7.4,Q1,57.4
2019-2025,11,Guanajuato,44.65,31.13,-30.3,152.19,338.9,122.7,Q2,153
2019-2025,12,Guerrero,43.83,29.69,-32.3,25,27.58,10.3,Q2,42.6
2019-2025,13,Hidalgo,9.27,7.67,-17.3,20.42,31.43,53.9,Q2,71.2
2019-2025,14,Jalisco,23.95,10.69,-55.3,29.39,32.37,10.1,Q2,65.5
2019-2025,15,México,14.81,7.4,-50,37.56,32.46,-13.6,Q1,36.4
2019-2025,16,Michoacán,35.01,21.25,-39.3,48.54,45.71,-5.8,Q1,33.5
2019-2025,17,Morelos,45.71,48.49,6.1,54.09,71.83,32.8,Q3,26.7
2019-2025,18,Nayarit,13.54,11.86,-12.4,27.48,46.52,69.3,Q2,81.7
2019-2025,19,Nuevo León,15.35,11.32,-26.2,68.95,149.32,116.6,Q2,142.8
2019-2025,20,Oaxaca,24.19,18,-25.6,12.13,18.34,51.2,Q2,76.8
2019-2025,21,Puebla,16.71,11.02,-34.1,10.19,25.5,150.4,Q2,184.4
2019-2025,22,Querétaro,7.44,5.27,-29.1,77.73,101,29.9,Q2,59.1
2019-2025,23,Quintana Roo,37.2,11.85,-68.1,70.81,139.13,96.5,Q2,164.6
2019-2025,24,San Luis Potosí,15.86,6.21,-60.9,31.52,419.66,1231.6,Q2,1292.5
2019-2025,25,Sinaloa,26.81,42.51,58.6,21.52,15.03,-30.2,Q4,-88.8
2019-2025,26,Sonora,35.62,32,-10.2,54.53,168.69,209.3,Q2,219.5
2019-2025,27,Tabasco,23.14,30.8,33.1,14.54,48.19,231.5,Q3,198.4
2019-2025,28,Tamaulipas,18.55,5.42,-70.8,9.68,17.26,78.3,Q2,149.1
2019-2025,29,Tlaxcala,10.82,7.11,-34.3,11.26,8.91,-20.9,Q1,13.4
2019-2025,30,Veracruz,17.49,10.01,-42.8,15.74,40.84,159.4,Q2,202.2
2019-2025,31,Yucatán,1.42,1.39,-1.8,16.98,12.02,-29.2,Q1,-27.4
2019-2025,32,Zacatecas,31.1,6.66,-78.6,40.79,35.61,-12.7,Q1,65.9
2023-2025,1,Aguascalientes,5.63,5.55,-1.3,151.37,183.91,21.5,Q2,22.8
2023-2025,2,Baja California,52.76,37.03,-29.8,248.07,210.84,-15,Q1,14.8
2023-2025,3,Baja California Sur,2.77,12.5,351.9,94.5,131.19,38.8,Q3,-313.1
2023-2025,4,Campeche,9.89,10.54,6.5,38.72,47.26,22,Q3,15.5
2023-2025,5,Coahuila,3.5,2.24,-36.1,273.88,159.81,-41.6,Q1,-5.6
2023-2025,6,Colima,104.57,72.61,-30.6,315.02,331.25,5.1,Q2,35.7
2023-2025,7,Chiapas,8.41,5.3,-36.9,6.78,24.49,261.4,Q2,298.3
2023-2025,8,Chihuahua,44.99,36.88,-18,81.46,94.26,15.7,Q2,33.7
2023-2025,9,Ciudad de México,8.46,8.29,-2,52.86,84.75,60.3,Q2,62.3
2023-2025,10,Durango,4.11,2.85,-30.5,50.12,50.49,0.7,Q2,31.2
2023-2025,11,Guanajuato,40.19,31.13,-22.5,321.95,338.9,5.3,Q2,27.8
2023-2025,12,Guerrero,38.87,29.69,-23.6,25.83,27.58,6.8,Q2,30.4
2023-2025,13,Hidalgo,6.78,7.67,13,29.28,31.43,7.3,Q3,-5.7
2023-2025,14,Jalisco,16.6,10.69,-35.6,26.59,32.37,21.7,Q2,57.3
2023-2025,15,México,12.88,7.4,-42.5,38.87,32.46,-16.5,Q1,26
2023-2025,16,Michoacán,29.05,21.25,-26.8,48.48,45.71,-5.7,Q1,21.1
2023-2025,17,Morelos,64.11,48.49,-24.4,37.77,71.83,90.2,Q2,114.6
2023-2025,18,Nayarit,9.27,11.86,27.9,60.81,46.52,-23.5,Q4,-51.4
2023-2025,19,Nuevo León,21.57,11.32,-47.5,136.63,149.32,9.3,Q2,56.8
2023-2025,20,Oaxaca,19.92,18,-9.7,17.91,18.34,2.4,Q2,12.1
2023-2025,21,Puebla,12.33,11.02,-10.7,30.42,25.5,-16.2,Q1,-5.5
2023-2025,22,Querétaro,7,5.27,-24.6,76.31,101,32.4,Q2,57
2023-2025,23,Quintana Roo,31.14,11.85,-62,114.77,139.13,21.2,Q2,83.2
2023-2025,24,San Luis Potosí,14.77,6.21,-58,232.75,419.66,80.3,Q2,138.3
2023-2025,25,Sinaloa,15.66,42.51,171.5,9.96,15.03,50.9,Q3,-120.7
2023-2025,26,Sonora,36.8,32,-13,91.21,168.69,84.9,Q2,98
2023-2025,27,Tabasco,9.53,30.8,223.1,5.38,48.19,796.1,Q3,573
2023-2025,28,Tamaulipas,9.9,5.42,-45.3,8.71,17.26,98.2,Q2,143.5
2023-2025,29,Tlaxcala,7.5,7.11,-5.2,7.43,8.91,19.9,Q2,25.1
2023-2025,30,Veracruz,10.18,10.01,-1.7,43.57,40.84,-6.3,Q1,-4.6
2023-2025,31,Yucatán,1.39,1.39,0.4,16.51,12.02,-27.2,Q4,-27.7
2023-2025,32,Zacatecas,42.13,6.66,-84.2,22.16,35.61,60.7,Q2,144.9
