ventana,cve_mun,municipio,estado,poblacion,tasa_homicidio_ini,tasa_homicidio_fin,delta_homicidio_pct,tasa_control_ini,tasa_control_fin,delta_control_pct,carpetas_homicidio_fin,carpetas_control_fin,cuadrante,score
2019-2025,01001,"Aguascalientes","Aguascalientes",1029221,6.37,3.98,-37.5,143.68,206.47,43.7,41,2125,Q2,81.2
2019-2025,01005,"Jesús María","Aguascalientes",141363,6.1,10.61,73.9,123.6,227.07,83.7,15,321,Q3,9.9
2019-2025,01011,"San Francisco de los Romo","Aguascalientes",76129,13.26,6.57,-50.5,106.06,84.07,-20.7,5,64,Q1,29.7
2019-2025,02001,"Ensenada","Baja California",468460,55.73,20.07,-64,317.31,373.35,17.7,94,1749,Q2,81.7
2019-2025,02002,"Mexicali","Baja California",1092460,13.01,15.93,22.5,264.16,111.31,-57.9,174,1216,Q4,-80.3
2019-2025,02003,"Tecate","Baja California",113824,71.14,51.83,-27.1,13.68,231.94,1595.3,59,264,Q2,1622.4
2019-2025,02004,"Tijuana","Baja California",2151740,104.59,49.87,-52.3,331.34,229.12,-30.9,1073,4930,Q1,21.5
2019-2025,02005,"Playas de Rosarito","Baja California",150975,116.3,35.77,-69.2,13.73,280.84,1945.4,54,424,Q2,2014.7
2019-2025,03001,"Comondú","Baja California Sur",75231,6.74,57.16,748.4,66.02,83.74,26.8,43,63,Q3,-721.6
2019-2025,03002,"Mulegé","Baja California Sur",67839,9.3,22.11,137.8,74.37,57.49,-22.7,15,39,Q4,-160.5
2019-2025,03003,"La Paz","Baja California Sur",321359,10.53,4.67,-55.7,93.78,79.66,-15.1,15,256,Q1,40.6
2019-2025,03008,"Los Cabos","Baja California Sur",422164,11.26,4.97,-55.8,80.29,174.81,117.7,21,738,Q2,173.6
2019-2025,04002,"Campeche","Campeche",303331,3.38,7.91,134.4,17.89,89.01,397.5,24,270,Q3,263.1
2019-2025,04003,"Carmen","Campeche",258853,12.7,10.04,-20.9,11.51,38.63,235.7,26,100,Q2,256.6
2019-2025,04009,"Escárcega","Campeche",61009,18.18,9.83,-45.9,42.97,26.23,-39,6,16,Q1,6.9
2019-2025,05017,"Matamoros","Coahuila",131274,10.96,1.52,-86.1,197.26,187.39,-5,2,246,Q1,81.1
2019-2025,05018,"Monclova","Coahuila",248394,4.16,2.01,-51.6,532.74,113.13,-78.8,5,281,Q1,-27.2
2019-2025,05020,"Múzquiz","Coahuila",74103,11.06,6.75,-39,251.69,144.39,-42.6,5,107,Q1,-3.6
2019-2025,05025,"Piedras Negras","Coahuila",192408,7.91,6.76,-14.6,523.8,337.3,-35.6,13,649,Q1,-21
2019-2025,05030,"Saltillo","Coahuila",979001,2.61,1.33,-49.1,208.8,70.79,-66.1,13,693,Q1,-17
2019-2025,05035,"Torreón","Coahuila",776036,12.27,2.06,-83.2,211.8,254.24,20,16,1973,Q2,103.2
2019-2025,06002,"Colima","Colima",164746,62.94,83.77,33.1,523.66,216.7,-58.6,138,357,Q4,-91.7
2019-2025,06007,"Manzanillo","Colima",202070,136.46,119.27,-12.6,248.1,624.54,151.7,241,1262,Q2,164.3
2019-2025,06009,"Tecomán","Colima",117990,114.84,11.87,-89.7,231.36,568.69,145.8,14,671,Q2,235.5
2019-2025,07012,"Berriozábal","Chiapas",77328,9.35,7.76,-17,15.58,9.05,-41.9,6,7,Q1,-24.9
2019-2025,07019,"Comitán de Domínguez","Chiapas",187436,6.51,2.67,-59,6.51,22.41,244.1,5,42,Q2,303.2
2019-2025,07034,"Frontera Comalapa","Chiapas",92431,8.54,14.06,64.8,7.32,51.93,609.8,13,48,Q3,545.1
2019-2025,07040,"Huixtla","Chiapas",55273,9.11,18.09,98.7,50.99,101.32,98.7,10,56,Q3,0
2019-2025,07059,"Ocosingo","Chiapas",263945,8.37,1.89,-77.4,4.6,7.58,64.6,5,20,Q2,141.9
2019-2025,07061,"Ocozocoautla de Espinosa","Chiapas",110029,10.11,8.18,-19.1,15.17,29.08,91.7,9,32,Q2,110.8
2019-2025,07065,"Palenque","Chiapas",149250,22.38,6.03,-73.1,38.79,26.8,-30.9,9,40,Q1,42.1
2019-2025,07078,"San Cristóbal de las Casas","Chiapas",232704,4.52,3.44,-24,15.38,61.45,299.6,8,143,Q2,323.6
2019-2025,07089,"Tapachula","Chiapas",375641,19.01,12.25,-35.6,69.7,68.68,-1.5,46,258,Q1,34.1
2019-2025,07101,"Tuxtla Gutiérrez","Chiapas",636678,5.96,3.3,-44.7,41.41,45.23,9.2,21,288,Q2,53.9
2019-2025,07108,"Villaflores","Chiapas",116677,14.29,6.86,-52,21.43,65.99,208,8,77,Q2,260
2019-2025,08017,"Cuauhtémoc","Chihuahua",196633,72.03,42.72,-40.7,70.38,188.17,167.3,84,370,Q2,208
2019-2025,08019,"Chihuahua","Chihuahua",1028306,34.2,26.65,-22.1,63.63,132.94,108.9,274,1367,Q2,131
2019-2025,08021,"Delicias","Chihuahua",156678,5.89,7.66,30,30.12,11.49,-61.9,12,18,Q4,-91.8
2019-2025,08032,"Hidalgo del Parral","Chihuahua",127636,18.71,5.48,-70.7,40.83,120.66,195.5,7,154,Q2,266.2
2019-2025,08037,"Juárez","Chihuahua",1661295,84.7,46.65,-44.9,441.94,108.23,-75.5,775,1798,Q1,-30.6
2019-2025,08050,"Nuevo Casas Grandes","Chihuahua",68506,15.03,13.14,-12.6,10.52,55.47,427.2,9,38,Q2,439.8
2019-2025,09002,"Azcapotzalco","Ciudad de México",444246,9.87,7.43,-24.8,47.98,59.88,24.8,33,266,Q2,49.5
2019-2025,09003,"Coyoacán","Ciudad de México",602223,9.11,3.82,-58.1,65.71,46.99,-28.5,23,283,Q1,29.6
2019-2025,09004,"Cuajimalpa de Morelos","Ciudad de México",226484,5.48,4.86,-11.4,25.57,36.65,43.3,11,83,Q2,54.7
2019-2025,09005,"Gustavo A. Madero","Ciudad de México",1149481,18.33,6.7,-63.5,59.76,66.46,11.2,77,764,Q2,74.7
2019-2025,09006,"Iztacalco","Ciudad de México",399570,9.75,6.51,-33.2,60.92,81.84,34.3,26,327,Q2,67.6
2019-2025,09007,"Iztapalapa","Ciudad de México",1800823,17.6,9.77,-44.5,75.3,86.18,14.4,176,1552,Q2,58.9
2019-2025,09008,"La Magdalena Contreras","Ciudad de México",246866,10.32,8.1,-21.5,47.25,29.98,-36.6,20,74,Q1,-15
2019-2025,09009,"Milpa Alta","Ciudad de México",159421,7.83,9.41,20.2,7.83,43.91,460.9,15,70,Q3,440.7
2019-2025,09010,"Álvaro Obregón","Ciudad de México",771231,16.05,7.39,-54,57.61,54.98,-4.6,57,424,Q1,49.4
2019-2025,09011,"Tláhuac","Ciudad de México",394188,18.73,8.63,-53.9,26.83,69,157.2,34,272,Q2,211.2
2019-2025,09012,"Tlalpan","Ciudad de México",712863,16.34,6.73,-58.8,35.35,37.17,5.2,48,265,Q2,63.9
2019-2025,09013,"Xochimilco","Ciudad de México",442569,10.52,9.26,-11.9,33.35,42.71,28,41,189,Q2,40
2019-2025,09014,"Benito Juárez","Ciudad de México",444684,4.09,1.8,-56,37.95,37.78,-0.5,8,168,Q1,55.6
2019-2025,09015,"Cuauhtémoc","Ciudad de México",535550,21.1,13.26,-37.2,238.61,398.47,67,71,2134,Q2,104.2
2019-2025,09016,"Miguel Hidalgo","Ciudad de México",415716,11.34,7.7,-32.1,64.44,64.47,0,32,268,Q2,32.2
2019-2025,09017,"Venustiano Carranza","Ciudad de México",437743,25.57,15.31,-40.1,236.98,127.93,-46,67,560,Q1,-5.9
2019-2025,10005,"Durango","Durango",733138,5.19,2.73,-47.5,67.06,26.33,-60.7,20,193,Q1,-13.3
2019-2025,10007,"Gómez Palacio","Durango",396385,4.55,1.77,-61.2,56.79,134.72,137.2,7,534,Q2,198.4
2019-2025,10012,"Lerdo","Durango",175076,7.92,1.14,-85.6,26.81,65.69,145,2,115,Q2,230.6
2019-2025,10023,"Pueblo Nuevo","Durango",52668,25.06,9.49,-62.1,107.97,37.97,-64.8,5,20,Q1,-2.7
2019-2025,11001,"Abasolo","Guanajuato",95411,76.07,12.58,-83.5,20.36,40.88,100.8,12,39,Q2,184.3
2019-2025,11002,"Acámbaro","Guanajuato",109444,106.43,34.72,-67.4,31.57,282.34,794.4,38,309,Q2,861.8
2019-2025,11003,"San Miguel de Allende","Guanajuato",178876,48.6,40.25,-17.2,51.99,207.97,300,72,372,Q2,317.2
