cve_mun,municipio,estado,poblacion,tasa_hom_2019s1,tasa_hom_2026s1,delta_homicidio_pct,tasa_control_2019s1,tasa_control_2026s1,delta_control_pct,cuadrante,score
01001,Aguascalientes,Aguascalientes,1029221,4.08,1.65,-59.5,92.48,137.77,49.0,Q2,108.4
02001,Ensenada,Baja California,468460,25.17,11.1,-55.9,188.99,220.72,16.8,Q2,72.7
02002,Mexicali,Baja California,1092460,7.8,5.86,-24.9,163.87,83.48,-49.1,Q1,-24.1
02004,Tijuana,Baja California,2151740,63.04,21.75,-65.5,180.23,108.15,-40.0,Q1,25.5
02005,Playas de Rosarito,Baja California,150975,66.23,27.16,-59.0,4.04,133.13,3196.8,Q2,3255.8
03003,La Paz,Baja California Sur,321359,7.82,2.49,-68.1,60.82,56.01,-7.9,Q1,60.2
03008,Los Cabos,Baja California Sur,422164,6.93,2.37,-65.8,60.65,145.2,139.4,Q2,205.2
04003,Carmen,Campeche,258853,5.95,9.27,55.8,3.97,43.27,990.4,Q3,934.6
04009,Escárcega,Campeche,61009,8.26,11.47,38.9,21.48,24.59,14.4,Q3,-24.4
05025,Piedras Negras,Coahuila,192408,6.22,1.56,-74.9,306.26,116.42,-62.0,Q1,12.9
05030,Saltillo,Coahuila,979001,2.15,0.92,-57.3,118.86,38.71,-67.4,Q1,-10.1
05035,Torreón,Coahuila,776036,8.0,1.29,-83.9,132.38,121.51,-8.2,Q1,75.7
06002,Colima,Colima,164746,32.1,49.77,55.1,326.66,162.67,-50.2,Q4,-105.3
06007,Manzanillo,Colima,202070,83.22,60.38,-27.4,167.47,345.42,106.3,Q2,133.7
06009,Tecomán,Colima,117990,59.52,9.32,-84.3,152.56,286.46,87.8,Q2,172.1
07065,Palenque,Chiapas,149250,12.68,4.02,-68.3,25.36,17.42,-31.3,Q1,37.0
07089,Tapachula,Chiapas,375641,10.19,6.39,-37.3,40.5,64.42,59.1,Q2,96.4
07101,Tuxtla Gutiérrez,Chiapas,636678,3.22,1.26,-61.0,25.14,24.66,-1.9,Q1,59.1
07108,Villaflores,Chiapas,116677,12.5,1.71,-86.3,14.29,20.57,44.0,Q2,130.3
08017,Cuauhtémoc,Chihuahua,196633,44.54,28.99,-34.9,49.49,165.28,234.0,Q2,268.9
08019,Chihuahua,Chihuahua,1028306,18.32,15.75,-14.0,34.94,118.74,239.9,Q2,253.9
08021,Delicias,Chihuahua,156678,4.58,3.19,-30.4,13.75,10.85,-21.1,Q1,9.3
08032,Hidalgo del Parral,Chihuahua,127636,14.46,3.13,-78.3,22.12,81.48,268.4,Q2,346.8
08037,Juárez,Chihuahua,1661295,49.62,18.72,-62.3,269.31,85.54,-68.2,Q1,-6.0
09002,Azcapotzalco,Ciudad de México,444246,5.28,5.18,-1.9,29.62,56.95,92.3,Q2,94.3
09003,Coyoacán,Ciudad de México,602223,6.24,2.16,-65.4,43.33,27.73,-36.0,Q1,29.4
09005,Gustavo A. Madero,Ciudad de México,1149481,11.3,4.44,-60.7,36.49,39.32,7.7,Q2,68.5
09006,Iztacalco,Ciudad de México,399570,5.36,2.75,-48.6,35.09,49.55,41.2,Q2,89.9
09007,Iztapalapa,Ciudad de México,1800823,11.5,5.61,-51.2,38.19,46.37,21.4,Q2,72.6
09008,La Magdalena Contreras,Ciudad de México,246866,6.35,4.46,-29.9,30.57,30.38,-0.6,Q1,29.2
09009,Milpa Alta,Ciudad de México,159421,6.52,4.39,-32.7,3.91,25.72,557.1,Q2,589.8
09010,Álvaro Obregón,Ciudad de México,771231,10.49,2.85,-72.8,35.6,38.77,8.9,Q2,81.7
09011,Tláhuac,Ciudad de México,394188,12.4,4.82,-61.1,15.19,40.84,169.0,Q2,230.1
09012,Tlalpan,Ciudad de México,712863,10.7,4.21,-60.7,23.1,22.02,-4.6,Q1,56.0
09013,Xochimilco,Ciudad de México,442569,6.49,2.94,-54.8,19.7,20.34,3.2,Q2,58.0
09014,Benito Juárez,Ciudad de México,444684,2.73,0.9,-67.0,22.5,22.71,1.0,Q2,68.0
09015,Cuauhtémoc,Ciudad de México,535550,15.15,10.64,-29.7,130.58,169.92,30.1,Q2,59.9
09016,Miguel Hidalgo,Ciudad de México,415716,8.21,5.53,-32.6,36.92,47.63,29.0,Q2,61.6
09017,Venustiano Carranza,Ciudad de México,437743,16.01,6.17,-61.5,94.48,79.04,-16.3,Q1,45.1
10005,Durango,Durango,733138,2.88,1.09,-62.2,49.9,11.59,-76.8,Q1,-14.6
10012,Lerdo,Durango,175076,5.48,1.71,-68.8,14.01,34.84,148.6,Q2,217.4
11001,Abasolo,Guanajuato,95411,54.64,6.29,-88.5,12.86,72.32,462.5,Q2,551.0
11002,Acámbaro,Guanajuato,109444,65.84,10.96,-83.3,18.94,182.74,864.8,Q2,948.2
11003,San Miguel de Allende,Guanajuato,178876,29.95,7.83,-73.9,31.65,137.53,334.6,Q2,408.4
11005,Apaseo el Grande,Guanajuato,131094,13.02,7.63,-41.4,9.55,67.89,611.1,Q2,652.5
11007,Celaya,Guanajuato,557405,17.7,7.89,-55.4,41.31,70.86,71.5,Q2,127.0
11011,Cortazar,Guanajuato,101599,12.1,1.97,-83.7,19.16,75.79,295.6,Q2,379.3
11014,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,176767,11.59,3.39,-70.7,8.54,63.36,641.9,Q2,712.6
11015,Guanajuato,Guanajuato,207532,15.31,3.85,-74.8,30.1,129.14,329.0,Q2,403.8
11017,Irapuato,Guanajuato,617848,34.69,21.36,-38.4,47.87,204.42,327.0,Q2,365.4
11020,León,Guanajuato,1877296,14.48,11.13,-23.1,205.32,116.28,-43.4,Q1,-20.2
11023,Pénjamo,Guanajuato,160941,42.74,18.64,-56.4,109.73,136.7,24.6,Q2,81.0
11025,Purísima del Rincón,Guanajuato,89013,16.56,10.11,-38.9,21.29,83.13,290.5,Q2,329.4
11027,Salamanca,Guanajuato,275473,59.78,26.5,-55.7,22.69,166.99,636.0,Q2,691.7
11028,Salvatierra,Guanajuato,93715,54.96,16.01,-70.9,13.48,68.29,406.6,Q2,477.5
11030,San Felipe,Guanajuato,128254,9.94,0.78,-92.2,13.26,101.36,664.4,Q2,756.6
11031,San Francisco del Rincón,Guanajuato,141216,28.21,19.83,-29.7,29.74,53.11,78.6,Q2,108.3
11033,San Luis de la Paz,Guanajuato,137626,13.14,5.81,-55.7,9.27,78.47,746.3,Q2,802.1
11037,Silao de la Victoria,Guanajuato,221116,52.78,7.24,-86.3,19.55,182.71,834.6,Q2,920.9
11042,Valle de Santiago,Guanajuato,155034,51.55,23.87,-53.7,21.81,92.88,325.9,Q2,379.6
11044,Villagrán,Guanajuato,70616,7.61,9.91,30.3,10.65,92.05,764.2,Q3,733.9
12001,Acapulco de Juárez,Guerrero,787976,44.46,24.62,-44.6,37.2,54.44,46.4,Q2,91.0
12029,Chilpancingo de los Bravo,Guerrero,297436,30.65,9.08,-70.4,21.59,36.98,71.3,Q2,141.7
