cve_mun,municipio,estado,cuadrante,score,delta_homicidio_pct,delta_control_pct,km_a_via_ferrea,km_a_frontera_norte
01001,"Aguascalientes","Aguascalientes",Q2,81.2,-37.5,43.7,3.6,613.2
01005,"Jesús María","Aguascalientes",Q3,9.9,73.9,83.7,16.6,603.9
01011,"San Francisco de los Romo","Aguascalientes",Q1,29.7,-50.5,-20.7,3.8,588.7
02001,"Ensenada","Baja California",Q2,81.7,-64,17.7,115.1,43.1
02002,"Mexicali","Baja California",Q4,-80.3,22.5,-57.9,23.6,40.7
02003,"Tecate","Baja California",Q2,1622.4,-27.1,1595.3,27.8,18.7
02004,"Tijuana","Baja California",Q1,21.5,-52.3,-30.9,6,19.5
02005,"Playas de Rosarito","Baja California",Q2,2014.7,-69.2,1945.4,21.3,1.4
03001,"Comondú","Baja California Sur",Q3,-721.6,748.4,26.8,259.3,234
03002,"Mulegé","Baja California Sur",Q4,-160.5,137.8,-22.7,244,204.7
03003,"La Paz","Baja California Sur",Q1,40.6,-55.7,-15.1,224.7,293.5
03008,"Los Cabos","Baja California Sur",Q2,173.6,-55.8,117.7,265.9,357.8
04002,"Campeche","Campeche",Q3,263.1,134.4,397.5,11.9,1002.7
04003,"Carmen","Campeche",Q2,256.6,-20.9,235.7,59.1,1014.7
04004,"Champotón","Campeche",Q3,-309.5,319,9.5,1.3,1027.9
04009,"Escárcega","Campeche",Q1,6.9,-45.9,-39,2.5,1077.7
05017,"Matamoros","Coahuila",Q1,81.1,-86.1,-5,16.6,342.9
05018,"Monclova","Coahuila",Q1,-27.2,-51.6,-78.8,24.3,168.7
05020,"Múzquiz","Coahuila",Q1,-3.6,-39,-42.6,69.2,138.1
05025,"Piedras Negras","Coahuila",Q1,-21,-14.6,-35.6,13.7,11.5
05030,"Saltillo","Coahuila",Q1,-17,-49.1,-66.1,7.2,262.5
05035,"Torreón","Coahuila",Q2,103.2,-83.2,20,0.5,357.9
06002,"Colima","Colima",Q4,-91.7,33.1,-58.6,13,796.2
06007,"Manzanillo","Colima",Q2,164.3,-12.6,151.7,6.9,767.8
06009,"Tecomán","Colima",Q2,235.5,-89.7,145.8,11,812.3
06010,"Villa de Álvarez","Colima",Q3,10901.6,127.5,11029.1,9.5,767.5
07012,"Berriozábal","Chiapas",Q1,-24.9,-17,-41.9,78.4,1085.7
07019,"Comitán de Domínguez","Chiapas",Q2,303.2,-59,244.1,119.5,1193.3
07034,"Frontera Comalapa","Chiapas",Q3,545.1,64.8,609.8,80,1251.6
07040,"Huixtla","Chiapas",Q3,0,98.7,98.7,7.2,1300.2
07059,"Ocosingo","Chiapas",Q2,141.9,-77.4,64.6,82,1195.9
07061,"Ocozocoautla de Espinosa","Chiapas",Q2,110.8,-19.1,91.7,78.9,1083.3
07065,"Palenque","Chiapas",Q1,42.1,-73.1,-30.9,11.2,1098.1
07078,"San Cristóbal de las Casas","Chiapas",Q2,323.6,-24,299.6,98.7,1134.9
07089,"Tapachula","Chiapas",Q1,34.1,-35.6,-1.5,6.2,1327
07101,"Tuxtla Gutiérrez","Chiapas",Q2,53.9,-44.7,9.2,89.6,1106.2
07108,"Villaflores","Chiapas",Q2,260,-52,208,49.8,1137.9
08017,"Cuauhtémoc","Chihuahua",Q2,208,-40.7,167.3,30.3,195.8
08019,"Chihuahua","Chihuahua",Q2,131,-22.1,108.9,8.1,183.8
08021,"Delicias","Chihuahua",Q4,-91.8,30,-61.9,8.2,193.5
08032,"Hidalgo del Parral","Chihuahua",Q2,266.2,-70.7,195.5,15.4,151.1
